제목,날짜,신문사,링크
성북·강북구 돌봄기관 인터넷에서 찾는다,2020.02.17,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009704757
"서울 성북·강북구, 부산 사하구 등 11곳, 미래교육지구로 선정",2019.12.12,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009603387
[티브로드]<서울>강북구 내 돌봄 기관 웹서비스 시작,2020.02.18,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=97659
집 찾아가 초등학생 원격수업 지원…강북구 돌봄서비스,2020.05.13,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004635629
"강북구, 올해 지역일자리 5159개 창출 목표",2016.04.20,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0002012637
"강북구, 초등 급식 도우미 등 어르신 1415명 채용",2015.01.29,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0003423386
첫 등교 초등1학년 “신나요”… 학부모는 교문서 발길 못떼,2020.05.28,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001325848
서울 초등 돌봄 전담인력 여전히 '태부족',2019.10.01,대한급식신문,http://www.fsnews.co.kr/news/articleView.html?idxno=35097
초등 1년생 집단 등교거부…그 학교엔 무슨 일이?,2012.07.07,노컷뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0002373462
"강북구, 돌봄 사각지대 초등학생 대상 '마을과 함께하는 틈새 돌봄 서비스' 지...",2018.05.24,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=186070
"강북구, 민선 7기 1년 공약사업 이행 중간점검",2019.07.18,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004503416
"강북구, 어르신 1191명에 일자리 마련",2011.01.31,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0002541445
성북구·강북구 돌봄기관 원클릭 '안심·동심 돌봄나눔터 웹서비스',2020.02.19,한국강사신문,http://www.lecturernews.com/news/articleView.html?idxno=34986
의료기기 판매회사서 6명 추가확진…서울서 15명 감염(종합),2일 전  네이버뉴,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010131291
방과 후 초등돌봄이 필요하세요? 다함께돌봄센터로 오세요! [다함께돌봄센터 ...,2020.04.16,스포츠경향,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=144&aid=0000667236
"[우리 아이, 서울이 함께 키운다 | ③초등돌봄은 '우리동네 키움센터'] 엄마·...",2019.12.04,내일신문,http://www.naeil.com/news_view/?id_art=333640
내일 초중고 237만명 2차 등교…각급 학교 초비상,2020.05.26,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004685561
"""첫날 가장 일찍 오고 싶었어요""…코로나19 확산 속 3차 등교",2020.06.03,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011651962
"박겸수 강북구청장 ""서울 동북부 중심도시로 우뚝 서겠다""",2014.07.01,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0003282177
"강북구, 지역 어르신 위한 일자리 1340개 제공",2014.02.04,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0003183671
"강북구, 어르신 일자리 사업 시작",2012.02.29,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0002749047
"강북구, 지역일자리 5,159개 창출 위해 뛴다",2016.04.21,일요신문,http://ilyo.co.kr/?ac=article_view&entry_id=176489
'학부모에게 듣는다',2018.08.14,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010269405
