제목,날짜,신문사,링크
제주 1명 추가 확진…'해열제' 먹고 제주여행 광진구 확진자 접촉,2020.07.17,뉴스1,https://www.news1.kr/articles/?3998512
"광진구, 영유아 보육 및 초등 돌봄 공백 최소화",2020.03.30,아시아경제,https://view.asiae.co.kr/article/2020032908593457641
서울 광진구 20번 다녀간 제주 한림읍 학교 22일 등교 재개,2020.07.20,뉴스1,https://www.news1.kr/articles/?4001177
"광진구, 우리동네키움센터 2호점 개소",2020.05.04,가톨릭평화방송·평화신문,http://www.cpbc.co.kr/CMS/news/view_body.php?cid=778464&path=202005
"광진구, 온종일 돌봄체계 구축",2020.07.12,아시아경제,https://view.asiae.co.kr/article/2020071218462475053
"광진구, 온종일 돌봄체계구축 시범사업 선정",2020.07.09,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200709000267
"광진구, 우리동네키움센터 개소… 초등돌봄 사각지대 해소",2019.09.18,아시아타임즈,http://www.asiatime.co.kr/news/articleView.html?idxno=270930
"광진구, 우리동네키움센터 2호점 개소…아이·부모 모두 행복한 돌봄서비스 제...",2020.05.05,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1275454
광진구 '우리동네키움센터 2호점' 개소,2020.05.02,아시아경제,https://view.asiae.co.kr/article/2020050207521179819
"서울 사립초 등교일, 공립초보다 2배…""소득 불평등이 교육격차로 심화""",2020.10.07,머니투데이,http://news.mt.co.kr/mtview.php?no=2020100710510046427
"광진구의회, 운영 현안 논의 위한 '제2차 간담회' 개최",2019.04.09,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1157118
"건국대 의상디자인학과, 초등학생에 미술·디자인 교육 재능기부",2015.08.27,머니투데이,http://www.mt.co.kr/view/mtview.php?type=1&no=2015082717468541097&outlink=1
"광진구, 우리동네키움센터 집중 지원구 선정",2020.03.25,아시아경제,https://view.asiae.co.kr/article/2020032515154971043
"건국대 학생들, 초등학생에 미술·디자인교육 재능기부",2015.08.28,한국대학신문,http://news.unn.net/news/articleView.html?idxno=150604
"광진구, ‘책 읽어주기 사업’ 프로그램 운영",2018.05.27,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1077012
"광진구, 우리동네 키움센터 대폭 확충",2면1단  2020,세계일보,http://www.segye.com/content/html/2020/03/30/20200330523210.html?OutUrl=naver
"건국대 봉사동아리 '터치' , 초등생에 미술·디자인 교육 재능기부",2015.08.31,뉴데일리,http://biz.newdaily.co.kr/news/article.html?no=10084424
"광진구, 우리동네 키움센터 활성화 위한 업무협약 체결",2020.02.21,아시아경제,https://view.asiae.co.kr/article/2020022117174974151
소득 관계없는 초등 돌봄…‘방과 후’ 걱정 없는 광진,2019.09.19,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20190919018019&wlog_tag3=naver
27일 237만명 추가 등교… 202곳은 연기,2020.05.26,세계일보,http://www.segye.com/content/html/2020/05/26/20200526514429.html?OutUrl=naver
"광진구, 제1회 아동 ·청소년 정책창안대회 개최",2018.08.30,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2018082922065269070
