Title,Date,Source,Link
"""라면 화재 형제는 돌봄 공백 문제…교육복지사 늘려야""(종합)",,연합뉴스,http://yna.kr/AKR20201015119451065?did=1195m
"방임 학대 피해 아동, 초등돌봄 우선 이용…거부하면 부모 과태료",,아시아경제,https://view.asiae.co.kr/article/2020101415355564847
"학교급식 못 먹은 긴급돌봄 학생들... ""100명인데도 왜 안줬나""",2시간 전  네이버,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002684425&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"양승조 지사, 돌봄현장 목소리 듣는다",2시간 전   보내,충청뉴스,http://www.ccnnews.co.kr/news/articleView.html?idxno=195582
초등학생 돌봄공백·학습결손 우려에 등교 수업 확대,,연합뉴스,http://yna.kr/AKR20201011048100530?did=1195m
"출산에서 돌봄까지, 익산시가 책임진다",23시간 전   보,새전북신문,http://sjbnews.com/news/news.php?number=695759
외국 국적 아이들도 코로나19 특별돌봄지원금 받는다,,한겨레,http://www.hani.co.kr/arti/society/schooling/965393.html
[포천소식]포천시 돌봄통합센터 설계 공모 등,2일 전  네이버뉴,뉴시스,http://www.newsis.com/view/?id=NISX20201013_0001195636&cID=10817&pID=14000
인천 용현동 형제 비극 다신 없도록 … 미추홀구 '기초돌봄협의체' 구성,,인천일보,http://www.incheonilbo.com/news/articleView.html?idxno=1062349
"SKT, 초등생에 '이동형 ICT 체험관' 지원",24  3일 전  ,아이뉴스24,http://www.inews24.com/view/1306090
"영등포구, 문래동·여의동에 초등학생 돌봄시설 조성",,뉴시스,http://www.newsis.com/view/?id=NISX20201012_0001193417&cID=14001&pID=14000
"초등 발달장애학생 10명 중 8명도 안 가는 긴급돌봄교실, 이유는?",,비마이너,http://beminor.com/detail.php?number=15174&thread=04r13
"익산시, “출산에서 돌봄까지, 익산시가 책임진다”",,베타뉴스,http://www.betanews.net:8080/article/1236255.html
학교 밖 청소년도 돌봄·비대면 학습 지원 받는다,2일 전  네이버뉴,YTN,https://www.ytn.co.kr/_ln/0103_202010130922455016
군위군 ‘fun fun 토요돌봄학교’ 운영,,스카이데일리,http://www.skyedaily.com/news/news_view.html?ID=113741
"SKT, 초등생에 '이동형 ICT 체험관' 지원",24  3일 전  ,아이뉴스24,http://www.inews24.com/view/1306090
"서울 영등포구, 초등생 돌봄시설 2곳 개소",,연합뉴스,http://yna.kr/AKR20201012046000004?did=1195m
거제시 초등 방학돌봄교실 도시락 지원사업 '인기 만점',,뉴시스,http://www.newsis.com/view/?id=NISX20201012_0001194510&cID=10812&pID=10800
"거제시, 초등 방학돌봄교실 도시락 지원 호평",2일 전   보내기,경남일보,http://www.gnnews.co.kr/news/articleView.html?idxno=457282
맞벌이 공무원 아이디어…전국 첫 방학 초등 돌봄교실 도시락 지원,2일 전  네이버뉴,노컷뉴스,https://www.nocutnews.co.kr/news/5427100
"'라면 형제' 사건 재발 막는다…방임 학대 피해아동, 돌봄교실 우선 이용",,뉴스웍스,http://www.newsworks.co.kr/news/articleView.html?idxno=494750
"군위군, 토요돌봄학교 운영",,환경일보,http://www.hkbs.co.kr/news/articleView.html?idxno=593293
"정세균 ""라면형제 회복 다행… 돌봄 사각지대 집중 점검""",,머니S,http://moneys.mt.co.kr/news/mwView.php?no=2020101408588091135
"시교육청, 화재피해 학생에 물품·긴급돌봄 지원",,경상일보,http://www.ksilbo.co.kr/news/articleView.html?idxno=775288
"전직 교사이자 호주 학부모입니다, 한국 돌봄교실에 할말 있습니다",,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002681190&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
안양시 초등생 돌봄 ‘다함께돌봄센터’ 2호 개소,2020.10.06,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03896646625930296
'울산화재' 아파트 학생 52명 거주…교육청 지원 결정,,뉴시스,http://www.newsis.com/view/?id=NISX20201010_0001192744&cID=10814&pID=10800
"강원도교육청, 외국 국적 학생 특별돌봄지원금 지급",,KBS,http://news.kbs.co.kr/news/view.do?ncd=5022041&ref=A
울산교육청 화재 피해 학생 긴급 지원,,베리타스알파,http://www.veritas-a.com/news/articleView.html?idxno=341445
[취중생]장애학생에 문턱 높인 학교들…엄마는 긴급돌봄 애원했다,,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20201010500058&wlog_tag3=naver
"경남교육청, 외국 국적 학생도 지원금 지급",2일 전   보내기,경남일보,http://www.gnnews.co.kr/news/articleView.html?idxno=457289
"서울시교육청, 외국국적의 재학생 및 학교밖 학습자까지 '아동돌봄, 비대면학...",23시간 전   보,한국강사신문,http://www.lecturernews.com/news/articleView.html?idxno=53778
[이슈&스토리]인천 초등생 형제 화재사고의 교훈,,경인일보,http://www.kyeongin.com/main/view.php?key=20201008010001315
"울산시교육청, 외국 국적 학생에게도 지원금 지급…310여명 대상",,뉴시스,http://www.newsis.com/view/?id=NISX20201008_0001191554&cID=10814&pID=10800
은평구 초등학생 부모 역할지원 프로그램 '은평 패밀RE사이클',2일 전  네이버뉴,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002683472&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
유은혜 “외국 국적 학생도 특별돌봄지원금 지급” [국감2020],2020.10.07,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202010071555001&code=940100
"서울시, 집회 제한적 허용·초등 1학년 매일 등교…핀셋 방역대책 가동",27면   2일 전,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01239846625932592
"강동구, '따뜻한 온돌방' 운영…돌봄공백 해소",2일 전   보내기,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1330182
"강원도교육청, 외국 국적 학생 특별돌봄지원금 지급",,KBS,http://news.kbs.co.kr/news/view.do?ncd=5022217&ref=A
"안양시, 지역 내 유휴공간 활용 돌봄센터 확충",2020.10.07,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20201007500037&wlog_tag3=naver
"유은혜 ""1학기 특수학급 학생 원격수업·돌봄 불충분…송구""",2020.10.07,뉴시스,http://www.newsis.com/view/?id=NISX20201007_0001189743&cID=10201&pID=10200
"""집 주고 장학금도 주겠다"" 학생 유치 나선 괴산군",2020.10.06,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002681680&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
[오늘의 서울 톡] 영등포 ‘아이랜드’ 긴급돌봄 운영,2일 전  네이버뉴,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20201013016043&wlog_tag3=naver
“고등학생은 안 주나요?” 비대면 학습지원금…중학생 1인당 15만원,2020.10.07,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20201007500147&wlog_tag3=naver
[특별기고]출산·보육·돌봄 순환 플랫폼이 아이 키우기 좋은 도시를 만든다,2일 전   보내기,경상일보,http://www.ksilbo.co.kr/news/articleView.html?idxno=775390
