제목,날짜,신문사,링크
"성동구 ""타 자치구 확진자, 관내 동호초등학교 방문…269명 검사""",,뉴시스,http://www.newsis.com/view/?id=NISX20201015_0001199398&cID=14001&pID=14000
"지친 초등생에… 성동구, 원예·연극으로 여름방학 추억 선물",2020.08.11,문화일보,http://www.munhwa.com/news/view.html?no=2020081101071303025001
"'초등생 · 교사 확진' 지켜본 400여 곳, 등교 미룬다",2020.05.26,SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1005805988&plink=ORI&cooper=NAVER
"""가정학습도 등교로 쳐준다"" 초등 1·2학년 '반쪽 개학' 예고",2020.05.08,중앙일보,https://news.joins.com/article/olink/23366235
성동구 초등돌봄센터 ‘아이꿈누리터’ 초등생 온라인 수업 지원,2020.07.17,아시아경제,https://view.asiae.co.kr/article/2020071706561180342
초등 1학년 부모 ‘10시 출근’ 활성화한다,2면5단  2018,한겨레,http://www.hani.co.kr/arti/society/rights/831141.html
2022년 초등학생 53만명 방과후 돌봐준다…1조들여 20만명 확대,2018.04.04,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180404131100004&did=1195m
유치원·초등학교 내일 가는데…강서구 유치원생 확진에 `발칵`,29면   2020,매일경제,http://news.mk.co.kr/newsRead.php?no=534795&year=2020
"성동구, 초등 돌봄 정보 지도로 한눈에",2019.10.02,여성신문,http://www.womennews.co.kr/news/articleView.html?idxno=193435
"성동구, '우리동네 초등돌봄지도' 제작·배포",2019.09.30,뉴시스,http://www.newsis.com/view/?id=NISX20190930_0000784125&cID=14001&pID=14000
"‘아이 키우기 좋은 도시’ 성동구, 합계출산율 서울 자치구 1위",2020.09.01,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0014964995&code=61111311&cp=nv
문 대통령이 초등학생에게 받은 특별한 선물은,2018.04.05,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20180405500091&wlog_tag3=naver
"서울시내 111개 초등학교는 등교 못했다…""학부모 불안에 연기""",2020.05.27,머니투데이,http://news.mt.co.kr/mtview.php?no=2020052714174486152
"성동구, 초등학교 여름방학 대비 돌봄서비스 제공",2019.07.22,뉴시스,http://www.newsis.com/view/?id=NISX20190722_0000718336&cID=14001&pID=14000
"文대통령 “온종일돌봄, 초등 6학년까지 확대해 오후 7시까지 늘릴 것”",2018.04.04,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03598166619172840
"성동구, 초등돌봄센터 '아이꿈누리터 5호점' 개소",2019.07.25,뉴시스,http://www.newsis.com/view/?id=NISX20190725_0000722262&cID=14001&pID=14000
"서울 성동구, 서울시 합계출산율 1위 비결은?",2020.09.02,베이비뉴스,https://www.ibabynews.com/news/articleView.html?idxno=88420
첫 등교 초등1학년 “신나요”… 학부모는 교문서 발길 못떼,2020.05.28,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0924140072&code=11131300&cp=nv
"학부모 “초등생 둘 챙기려니 정신없어, 내가 개학했나”",2면1단  2020,중앙일보,https://news.joins.com/article/olink/23353422
"성동구, 초등돌봄센터 6호점 ‘마장아이꿈누리’ 개소식",2019.11.17,뉴시스,http://www.newsis.com/view/?id=NISX20191117_0000832105&cID=14001&pID=14000
"조희연 서울교육감 ""초등 1~2학년도 우선 개학 논의""",2020.04.29,뉴스1,https://www.news1.kr/articles/?3921401
"쿠팡 관련 하루새 11명, 초등생도 확진…이태원발 최소 264명",2020.05.27,뉴스1,https://www.news1.kr/articles/?3946082
"성동구, 초등생 겨울방학 특강 운영",2020.01.14,베이비뉴스,https://www.ibabynews.com/news/articleView.html?idxno=81386
초등학교보다 짧은 유치원 방학... 대책은 감감 무소식,2020.06.30,파이낸셜뉴스,http://www.fnnews.com/news/202006261423523338
"초등 저학년 TV앞에 '재택 등교'…학부모 ""사실상 부모개학""",2020.04.20,중앙일보,https://news.joins.com/article/olink/23352775
"성동구, 초등돌봄센터 10곳 확충···전국 첫 지원 조례 추진",2018.09.03,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201809031814001&code=940100
서울시 성동구 여름방학 '돌봄서비스' 제공,2019.07.23,뉴스메이커,http://www.newsmaker.or.kr/news/articleView.html?idxno=79402
[자치광장] 초등 돌봄 울타리 되어주는 성동구/정원오 성동구청장,25면1단  201,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20190805025008&wlog_tag3=naver
초등 1·2학년 등교 개학 D-1···책가방 쌌다 풀었다 하는 부모,2020.05.26,중앙일보,https://news.joins.com/article/olink/23380020
"초등돌봄 확대에 학부모 ""환영""…교실·인력·예산 확보 과제",2018.04.04,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180404155700004&did=1195m
오늘 초등·유치원 등교 시작…400여 곳 이상 '등교 연기',2020.05.27,SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1005806288&plink=ORI&cooper=NAVER
"성동구, 초등돌봄센터 '아이꿈누리터' 27개소 확충",2019.02.14,뉴시스,http://www.newsis.com/view/?id=NISX20190214_0000558911&cID=14001&pID=14000
성동형 초등돌봄센터 직장맘들의 오아시스,2019.02.14,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20190214018032&wlog_tag3=naver
"성동구, 초등돌봄센터 '아이꿈누리터' 3곳 이달 개소",2019.03.20,뉴시스,http://www.newsis.com/view/?id=NISX20190320_0000593477&cID=14001&pID=14000
어린이 보육 사각지대 방지… 성동구 ‘초등돌봄사업’주목,2018.08.23,문화일보,http://www.munhwa.com/news/view.html?no=2018082301071327099001
직원·손님·가족까지 성동구 음식점에서만 5·6·7차 감염 19건(종합),2020.05.27,뉴스1,https://www.news1.kr/articles/?3946668
"[티브로드]<서울>성동구, 초등돌봄 조례제정...전문인력 양성",2018.09.07,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=57&p_no=64728
"성동구, ‘우리동네 초등돌봄지도’ 제작·배포",2019.10.04,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20191004500058&wlog_tag3=naver
[티브로드]<서울>중구에도 잇따라 개소...늘어나는 초등돌봄센터,2020.01.14,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=95698
"'교사·학생 잇따라 확진' 초등1·2학년, 오늘 '불안한' 등교 개학",2020.05.27,뉴스1,https://www.news1.kr/articles/?3946114
성동구 초등돌봄센터 ‘아이꿈누리터’ 3개소 오픈,2019.03.21,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2019032123090339943
"성동구, 우리아이 돌봄정보 지도로 한눈에 쏙",2019.10.01,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1209214
성동구 '서울 스마트시티 테스트베드 특구' 지정,2018.12.18,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2018121807105454767
"성동, 코로나에 지친 초등생 ‘심리방역’",2020.08.12,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200812015022&wlog_tag3=naver
"文대통령, 온종일 돌봄정책 발표…초등학생 간식 나눠주기도",2018.04.04,뉴스1,http://news1.kr/articles/?3280231
"2022년까지 초등생 53만명, 온종일 ‘돌봄 서비스’ 받는다",2단  2018.0,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20180405001015&wlog_tag3=naver
[전문] 성동구청 65번째 용산구 67번째 확진자 발생과 동선공개,2020.08.15,데일리그리드,http://www.dailygrid.net/news/articleView.html?idxno=376079
성동구 '초등돌봄 서포터즈 1기' 발대식 개최,2019.05.08,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1165051
"성동구, 복지사각지대 발굴 우수지자체 선정된 까닭?",2020.07.23,아시아경제,https://view.asiae.co.kr/article/2020072306474640925
"성동구, 초등돌봄 지원조례 만들어 돌봄공백 막는다",2018.09.04,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20180904000184
"성동구, `아이꿈누리터` 2곳 동시 개소",2019.08.30,가톨릭평화방송·평화신문,http://www.cpbc.co.kr/CMS/news/view_body.php?cid=761347&path=201908
지역에 맞는 초등돌봄 우수모델 발굴…10개 시군구에 80억 지원,2018.05.03,뉴스1,http://news1.kr/articles/?3307778
지역특성 살린 맞춤형 ‘초등돌봄’ 모델 발굴,2018.06.27,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=832358
어린이집·도서관·의원···확진자 나오자 성동구 전체가 '셧다운',2020.02.19,중앙일보,https://news.joins.com/article/olink/23304439
초등생 돌봄 공백 메운다···동네 키움센터 확대,2020.09.10,KTV국민방송,http://www.ktv.go.kr/content/view?content_id=608789
[티브로드]<서울>성동구 초등돌봄센터 1호...아이꿈누리터 개소,2019.02.15,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=75031
"서울 성동구, 아동친화도시 조성 1639억 원 투입",2020.02.19,베이비뉴스,https://www.ibabynews.com/news/articleView.html?idxno=82489
"[민선 7기 1년]정원오 성동구청장 ""4차 산업혁명시대 스마트 포용도시로서 제...",2019.07.10,아시아경제,https://view.asiae.co.kr/article/2019071016540852841
"장신영 문재인, 서울 경동초등학교 일일 돌봄 교사로 참석..왜?",2018.04.05,MK스포츠,http://sports.mk.co.kr/view.php?year=2018&no=218673
"文대통령, 식목일 식수행사서 '초등생의 100원 선물' 자랑",2018.04.05,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03214406619173168
[온종일돌봄 선도사업] 성동구 '아이꿈누리터'·'이웃돌봄' 운영,2019.06.28,베이비타임즈,http://www.babytimes.co.kr/news/articleView.html?idxno=28517
"배우 장신영, 문재인 대통령 만났다..나란히 초등 일일교사",2018.04.04,서울경제,http://www.sedaily.com/NewsView/1RY4KY2RCJ
"성동구, '2019 복지행정상' 등 5개 부문 수상",2019.12.10,뉴시스,http://www.newsis.com/view/?id=NISX20191210_0000855883&cID=14001&pID=14000
2022년까지 유아교육·초등돌봄에 750억 투입…온종일 돌봄체계 구축,2018.05.14,뉴시스,http://www.newsis.com/view/?id=NISX20180514_0000307480&cID=10201&pID=10200
서울 '초등 긴급돌봄' 22일까지 연장…우리 동네 시설은?,2020.03.03,머니투데이,http://news.mt.co.kr/mtview.php?no=2020030314412579564
"성동구, ‘민선 7기 법무행정 로드맵’ 발표",2019.02.07,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20190207000145
[속보] 서울 성동구서 11명 무더기 확진…이태원 클럽 n차 감염,2020.05.26,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200526000552
"성동구센터, 식품첨가물 바로 알기 교육에 나서",2019.08.09,대한급식신문,http://www.fsnews.co.kr/news/articleView.html?idxno=34482
"초등생 온종일돌봄, 국가책임 강화",2019.06.25,내일신문,http://www.naeil.com/news_view/?id_art=317258
"[티브로드]<서울>""초등돌봄 수요 해결""...아이꿈누리터 잇따라 개소",2019.03.29,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=77733
허겁지겁 아이 챙기던 맞벌이 부부 “동네키움센터 덕에 초등생 딸도 밝아져”,20면1단  201,중앙일보,https://news.joins.com/article/olink/23261204
"성동구, 문화·예술 방학 특화 프로그램 운영",2020.08.13,한겨레,http://www.seouland.com/arti/society/society_general/7161.html
성동구의 모든 돌봄서비스 한자리에,2019.11.04,베이비뉴스,https://www.ibabynews.com/news/articleView.html?idxno=79496
"정원오 성동구청장, '스마트 포용도시'로 행정 사각지대 없앤다",2020.07.24,MTN,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2020072412253075943
"성동구, 코로나19에 취약계층 지키기 나섰다",2020.03.04,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200304000203
문재인 대통령 환영하는 초등생들,2018.04.04,뉴스1,http://news1.kr/photos/view/?3047132
"성동구, 초등 이웃돌봄 추진…""함께 돌봐요""",2019.04.29,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1162620
"초등학생에게 100원 받은 문재인 대통령, 정치자금법 위반?",2018.04.06,스포츠경향,http://sports.khan.co.kr/news/sk_index.html?art_id=201804061420003&sec_id=560901&pt=nv
"성동구, 아이꿈누리터 13개소 '창의 놀이키트' 배부",2020.05.19,베이비뉴스,https://www.ibabynews.com/news/articleView.html?idxno=85584
서울 10개 초등학교 등 전국 202곳 등교 연기,2020.05.26,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=216914
"돌봄교실 불안한 엄마들, 서울시 초등 긴급돌봄 이용 5601명 그쳐",2020.03.03,여성조,http://woman.chosun.com/client/news/viw.asp?cate=C01&mcate=M1001&nNewsNumb=20200364684
"사립초 등교일이 공립초보다 2배 많아…""코로나로 교육불평등""",2020.10.07,뉴스1,https://www.news1.kr/articles/?4079426
"성동구, 모든 돌봄서비스 한자리에…나눔한마당 개최",2019.11.03,뉴시스,http://www.newsis.com/view/?id=NISX20191103_0000818087&cID=14001&pID=14000
"문 대통령 ""초등돌봄 20만 명 늘릴 것""",2018.04.06,전라일보,http://www.jeollailbo.com/news/articleView.html?idxno=537852
"민간 시설 빌려 돌봄 시설 확충, 비용 크게 줄인 성동구식 ‘눈길’",2019.02.28,한겨레,http://www.seouland.com/arti/society/society_general/4696.html
문 대통령 손에 100원 동전 쥐어준 초등학생,2018.04.05,국제신문,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0100&key=20180405.99099002314
"문 대통령, 초등학교 온종일 돌봄교실 방문",2018.04.04,뉴시스,http://www.newsis.com/view/?id=NISI20180404_0013961019
"서울시, 초등학생 돌봄 서비스 확대…올해 ‘우리동네 키움센터’ 94곳 신설",2019.03.06,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201903061422001&code=940100
"초등 부모 ""여름방학, 아이들 어디에 맡겨야 하나""",2018.07.26,베이비타임즈,http://www.babytimes.co.kr/news/articleView.html?idxno=21182
우한폐렴 확진에 성동구 비상... 어린이집 등 공공시설 494곳 폐쇄,2020.02.19,조선일보,https://news.chosun.com/site/data/html_dir/2020/02/19/2020021902777.html?utm_source=naver&utm_medium=original&utm_campaign=news
초등돌봄시설에서도 '사회적 거리두기',2020.03.06,뉴시스,http://www.newsis.com/view/?id=NISI20200306_0016152196
"초등학생, SKT 대리점에서 '어린이 코딩 교육' 받는다",2019.03.06,디지털투데이,http://www.digitaltoday.co.kr/news/articleView.html?idxno=207772
"정원오 성동구청장 ""스마트포용도시 건설… 주민 모두가 존중받는 성동 만들겠...",27면1단  202,파이낸셜뉴스,http://www.fnnews.com/news/202004191637324528
"성동구, 민선 7기 법무행정 로드맵 발표",2019.02.09,투어타임즈,http://www.tourtimes.net/68980
초등학생 손 잡아주는 문 대통령,2018.04.04,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=PYH20180404191300013&did=1196m
"성동구, 이웃단위 자발적 돌봄 공동체 조성",2019.04.12,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2019041207212780570
서울연은초등학교 학생·아버지 확진…서울 총 796명,2020.05.26,MBN,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4163039
[온종일 초등돌봄] 학부모들 “일과 육아 양립 불가능… 돌봄서비스 국가가 더...,2018.04.05,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20180405005011&wlog_tag3=naver
"성동구, 옥수초 학생 및 교직원 215명 전원 '음성'",2020.06.21,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=217780
‘안심하고 아이키우는 나라’…초등 온종일 돌봄체제 구축,2018.05.10,정책브리핑,http://www.korea.kr/policy/societyView.do?newsId=148850478&call_from=naver_news
