제목,날짜,신문사,링크
"초등 저학년 등교 확대에 맞벌이 학부모 ""숨통 트인다""",,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004756847
서울 돈암초등학고 야간 당직자 확진…1·2학년 등교 중지,2020.06.02,중앙일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003005761
서울 성북구 길음동에 신설 초등학교 들어선다,2020.03.23,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004647272
성북구 돈암초 야간당직자 확진…오늘 1·2학년 등교 중단,2020.06.02,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009892642
서울 중랑구·성북구 유치원·초·중·고교 42곳 ‘휴업 명령’,2020.02.05,KBS,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0010789207
"성북구, 길음1촉진구역 초등학교 건립 숙원 해소",2020.03.24,프레스나인,http://www.press9.kr/news/articleView.html?idxno=43888
"서울시교육청, 중랑·성북구 42개교 휴업명령… ‘13일까지’",2020.02.05,국제신문,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200205.99099001740
'초등 등교 첫날' 확진자 '급증'…마음 졸이는 학부모,2020.05.27,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004661292
"권수정 서울시의원, ‘성북구 특별재난지역 지정 요청’ 기자회견",2020.09.14,서울신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003123894
성북구-중랑구 지역 유치원·초·중·고교 42곳 ‘휴업 명령’,2020.02.06,뉴스핌,http://www.newspim.com/news/view/20200206000192
코로나19 확진 초등생 접촉자 140명…옥천군 '초비상',2020.08.20,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011826371
[종합2보] 옥천 초등생 일가 4명 확진...충북 교육당국 '비상',2020.08.20,뉴스핌,http://www.newspim.com/news/view/20200820000276
아파트 유휴공간서 초등돌봄…'온종일 돌봄 생태계' 성과 보고회,2019.06.25,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004058145
[명단] 신종코로나 환자 방문 중랑·성북구 학교 42곳 휴업명령,2020.02.05,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001285079
서울돈암초등학교 근무자 확진… 등교·등원 중지,2020.06.02,아시아타임즈,https://www.asiatime.co.kr/news/newsview.php?ncode=1065577249769096
"성북구, 길음뉴타운 초등학교 건립 협약",2020.03.26,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002491012
"KB금융, 장위초등학교 병설유치원 개원식 진행",2019.03.13,프라임경제,http://www.newsprime.co.kr/news/article.html?no=450734
"박 대통령, 초등학교 ‘돌봄교실’ 참관",2016.06.23,KBS,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0010331384
"성북구, 아동청소년 비만 언택트로 관리 큰 호응",2020.07.16,문화일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002435427
"KB금융, 서울 성북구에 병설유치원 개원",2019.03.13,인더뉴스,http://www.inthenews.co.kr/news/article.html?no=14080
"KB금융그룹, 초등학교 돌봄교실·병설유치원 개관식 개최",2019.12.09,컨슈머타임스,http://www.cstimes.com/?mod=news&act=articleView&idxno=323015
"성북구, 우리동네키움센터 10개소 확충 추진",2020.08.13,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004735854
"성북구, 아동청소년 비만예방 비대면 관리",2020.07.15,컨슈머타임스,http://www.cstimes.com/news/articleView.html?idxno=422303
"서울시 성북구‧강북구, 관내 돌봄기관 '원클릭' 통합 안내",2020.02.17,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004465556
초등 돌봄교실에 750억…'세상을 바꾸는 금융' 만든다,2019.07.16,한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004176729
"[와글와글] 태풍 '솔릭' 북상 서울 초등학교 휴업 ""직장은 안 쉬는데"" vs ""안...",2018.08.23,한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=015&aid=0003999906
서울 어린이집 5420곳·초등돌봄 519곳 개원 무기연기,2020.08.17,스카이데일리,http://www.skyedaily.com/news/news_view.html?ID=110220
[신종코로나] 서울 중랑구‧성북구 42개교에 휴업명령,2020.02.06,아주경제,http://www.ajunews.com/view/20200206082658100
"성북구, 초등학생 식습관 교육 '뉴트리 체험존' 운영",2016.07.25,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0002186698
"서울시, 초등학생을 위한 '돌봄 서비스' 확대",2019.03.06,조선일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003431176
성북구 학원서 18명 확진·교사간 감염도…학교도 ‘불안’,2020.08.20,쿠키뉴스,http://www.kukinews.com/newsView/kuk202008200167
"[단독] 유초중고 학사운영, 12일부터 교육청·학교에 맡긴다... 등교수업 확대",2020.10.06,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002287065
87일만에 등교한 초등생들… '만반의 준비'에도 학부모들 '불안',2020.05.27,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003469119
"'학급당 학생 수' 30명 초과가 520 학급... 초1, 전면등교 어쩌나",,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002288011
첫 등교 초등1학년 “신나요”… 학부모는 교문서 발길 못떼,2020.05.28,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001325848
"성북구, '우리마을 교육나눔 영어교실' 실시",2018.06.06,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1080694
"서울 초등돌봄시설, 오후 6시까지 긴급돌봄 제공",2020.03.03,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011445261
['위기의 아동' 보호·돌봄 바로 세우기│③ 지역공동체 돌봄 현장 - 서울시 ...,2018.06.29,내일신문,http://www.naeil.com/news_view/?id_art=280451
초등돌봄교실 방문한 박근혜 대통령,2016.06.23,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0007307845
"성북구, 겨울방학 맞아 ‘전래놀이학교’ 운영",2018.01.11,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004155883
초등학교 찾아간 朴대통령 “돌봄교실 많은 정성 쏟았다”,2016.06.24,서울신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=081&aid=0002731446
"초등 돌봄교실, 교실도 없이 문열 판",2014.02.06,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0003184975
"성북구, 재난취약계층 위한 '찾아가는 안전교육'",2017.03.22,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0003957934
초등생 돌봄 공백 메워줍니다,2018.07.22,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001116540
