Title,Date,Source,Link
[MT해양 칼럼]스타벅을 다시 바다로,2020.08.27,머니투데이,http://news.mt.co.kr/mtview.php?no=2020082718033866682
"현대카드, 스타벅스 PLCC출시…'3만원마다 스벅 별 적립'",,메트로신문,http://www.metroseoul.co.kr/article/20201015500184
[이 한 권의 책]<모비 딕> 마침내 침몰한 피쿼드호는 어떤 국가일까,2020.09.08,주간경향,http://weekly.khan.co.kr/khnm.html?mode=view&code=116&artid=202009041627241&pt=nv
21살 청년 '스타벅스코리아'…어느새 이렇게 컸나,2020.07.26,뉴시스,http://www.newsis.com/view/?id=NISX20200724_0001107105&cID=13001&pID=13000
"[포토] 송호섭 스타벅커피 코리아 대표, 독립유공자 후손을 후원합니다!",2019.08.14,스포츠서울,http://www.sportsseoul.com/news/read/804576
[새영화] Mr.스타벅,2012.09.08,강원도민일보,http://www.kado.net/news/articleView.html?idxno=585918
바다에서 탄생된 이름 '스타벅스',2020.07.22,어업IN수산,http://www.suhyupnews.co.kr/news/articleView.html?idxno=26018
[포토엔HD] 신원호 ‘꽃미남 외모’(스타벅‘스 다방),2017.12.28,뉴스엔,http://www.newsen.com/news_view.php?uid=201712281617570810
[뉴스] <미스터 스타벅> 제목만 보면 영화가 보인다?,2012.08.23,맥스무비,http://www.maxmovie.com/movie_info/news_read.asp?idx=MI0096633973
[알고 보면 더 재밌다] <미스터 스타벅> 영화 안에 어벤져스 있다?,2012.09.14,맥스무비,http://www.maxmovie.com/movie_info/news_read.asp?idx=MI0096814665
하루아침에 수백명의 자식이 생긴 남자이야기 < Mr. 스타벅>,21  2012.0,씨네21,http://www.cine21.com/news/view/mag_id/71008
"영화 'Mr.스타벅', 맨인블랙3 제쳤다",2012.08.20,넥스트데일리,http://www.ebuzz.co.kr/news/shoop/2633433_3025.html
"정자왕 ‘미스터 스타벅’, 美 러브콜…얼마나 웃기길래?",2012.08.29,매일경제,http://star.mk.co.kr/new/view.php?mc=ST&no=547335&year=2012
