제목,날짜,신문사,링크
[현장] 초등 저학년도 온라인개학…초중고 540만 명 원격수업,2020.04.20,SBS,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=055&aid=0000809176
"용산구, 우리동네 키움센터 5호점 문 열어",2020.07.28,한국경제TV,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000889216
"서울 용산구, 아동돌봄공간·청년창업센터 등 구민시설 완공",2020.09.07,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=001&aid=0011864665
"서울시교육청, 8일 관내 공립초등학교 예비소집 실시",2020.01.06,뉴스핌,http://www.newspim.com/news/view/20200106000447
"서울 용산구, 새로운 개념의 구민편의 복합시설 조성",2020.09.09,노컷뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003404925
"'학원강사발 감염' 인천, 내주 27일 초등생 등교 가능하려나",2020.05.21,MBN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001457253
개학 연기 초등학교...돌봄교실은 희망자 한해서 운영,2020.01.30,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009676021
"학부모 10명 중 8명 ""초등돌봄교실 법제화 찬성""",2020.06.26,매일노동뉴스,http://www.labortoday.co.kr/news/articleView.html?idxno=165217
"""2024년부터 초등학교 하교시간 연장""…전문가들 난상토론",2018.08.27,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004303313
화재대피훈련 하는 원효초등학교 학생들,2019.10.30,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001254266
"용산구, 초등학생 돌봄 사각지대 해소 위한 키움센터 4곳 신설",2019.12.11,글로벌메이커스,http://www.globalmakers.co.kr/view.php?ud=20191211142601665488c3409001_39
[사진]'초등 돌봄 교실' 안내받는 학부모들,2020.01.08,머니투데이,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004337079
[전문] 성동구청 65번째 용산구 67번째 확진자 발생과 동선공개,2020.08.15,데일리그리드,http://www.dailygrid.net/news/articleView.html?idxno=376079
"용산구의회, 제249회 임시회 개회",2019.07.05,데일리한국,http://daily.hankooki.com/lpage/society/201907/dh20190705182844137780.htm
[아기는 우리의 희망] 초등학교가면 돌봄절벽…엄마 1만5천명 사직,2018.06.09,연합뉴스TV,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=422&aid=0000322176
초등학교 입학생 학부모 ‘10시 출근’ 확대…자녀돌봄휴가 10일 신설,2018.02.06,아주경제,http://www.ajunews.com/view/20180206120708637
식비 40% 뛰어도 아동복지 예산 뒷전으로 밀리는 이유,,주간동아,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=037&aid=0000028412
"유은혜 ""연내 전 학교에 공기정화장치…유·초등은 상반기 중""",2019.03.06,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010676193
‘초등학교 1학년 부모 10시 출근제’ 도입… 돌봄공백 해소할까?,2018.02.07,여성신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=310&aid=0000064009
"초등생 온라인 개학, ‘학부모 개학’ 우려 현실로… 직장맘은 월차 쓴다",2020.04.20,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003458045
"초등 1~3학년 137만명 온라인 개학, 사실상 ""엄마·아빠 개학""",2020.04.21,조선일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003525170
일자리 드리고 요양원 늘리고… 용산구 ‘어르신 복지’ 눈에 띄네,2020.03.04,문화일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002419612
용산구 국제빌딩 주변에 11층 구민편의 복합시설,2면1단  2019,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003587670
초등학교 출입 통제 안내문,2020.01.30,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004434751
"유치원·초등1·2 등교 코앞인데… ""보낼까 말까"" 학부모는 '고민 중'",2020.05.25,뉴데일리,http://www.newdaily.co.kr/site/data/html/2020/05/25/2020052500225.html
"오늘 유치원·초등 저학년도 학교 간다…""불안해도 어쩔 수 없이 보내요""",2020.05.27,뉴스핌,http://www.newspim.com/news/view/20200526001051
법인 택시기사·중고생 돌봄비 지원 확대 막판 쟁점 부상,2020.09.20,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003505155
"교문 여는 수도권 학교… ""원격수업 장기화에 여러 가지 우려""",2020.09.16,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003503835
"수도권 유·초·중·고, 고3 제외 9월11일까지 원격수업 전환",2020.08.25,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003496759
다시 문여는 수도권 학교…“12월 3일 수능 예정대로”,2020.09.15,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003503673
[모멘트] '다음주 부터 다시 학교로',2020.09.15,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011883435
'수도권 학교 21일 등교 재개',2020.09.15,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011882986
"용산구, 2017 자활사업 보고대회 '성료'",2017.12.14,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004139718
[메르스 르포-초등학교 등굣길] 마스크속 꺄르르~어른보다 씩씩한 동심,2015.06.09,미디어펜,http://www.mediapen.com/news/articleView.html?idxno=79225
'아들 잘 다녀와',2020.06.08,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009902485
"“등교 개학 시기, 생활방역 등 연계 5월초 결정”",2020.04.21,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003458586
'줄 지어서',2020.06.08,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009902488
