제목,날짜,신문사,링크
"'김영철의 동네 한 바퀴' 서울 마장동, 축산시장-쟁반배달-키움센터-곱창구이...",2020.02.15,부산일보,http://www.busan.com/view/busan/view.php?code=2020021515062255033
맞춤형 아이돌봄 '우리동네키움포털' 10일 오픈,2019.12.10,세이프타임즈,http://www.safetimes.co.kr/news/articleView.html?idxno=78558
'우리동네키움센터' 2022년에 400개소… 서울시 초등 돌봄 본격화,2019.03.07,장애인신문,http://www.welfarenews.net/news/articleView.html?idxno=67907
서울시 아이돌봄 정보 '우리동네 키움포털' 오픈,2019.12.09,노컷뉴스,https://www.nocutnews.co.kr/news/5256001
“우리동네키움센터 덕에 부모·아이 모두 방과후 생활 확 달라져”,2019.12.05,한겨레,http://www.seouland.com/arti/society/society_general/5985.html
"'박원순표 돌봄' 우리동네 키움센터, 시작부터 잡음",2019.03.17,뉴스1,http://news1.kr/articles/?3572368
한 명의 아이도 차별 없이 ‘쑥쑥’…백년 꿈 키우는 미래발전소 마포,2020.07.07,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200707016013&wlog_tag3=naver
"영등포구, 제1호 '우리아이 키움센터' 개소... 30일까지 접수",2019.08.26,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=206526
"남양주시수어통역센터, 꿈 정함 우리동네키움센터와 업무협약",2020.06.04,열린뉴스통신,http://www.ybsn.tv/news/articleView.html?idxno=15763
"박원순 ""지역아동센터 종사자 처우 개선 힘쓰겠다""",2019.04.25,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2019042514492638071
"충남아이키움뜰, 부모 98% '만족'",24  2019.1,디트뉴스24,http://www.dtnews24.com/news/articleView.html?idxno=562960
"[우리 아이, 서울이 함께 키운다 | ③초등돌봄은 '우리동네 키움센터'] 엄마·...",2019.12.04,내일신문,http://www.naeil.com/news_view/?id_art=333640
방과 후 우리 아이 돌봐주는 '우리동네키움센터',2019.03.20,베이비뉴스,http://www.ibabynews.com/news/articleView.html?idxno=72860
서울 중구 학교밖 초등돌봄 본격화…'모든아이 신당센터' 개설,2019.11.25,연합뉴스,http://yna.kr/AKR20191125042300004?did=1195m
"광주시, '아이키움 행복한 광주 만들기' 본격 추진",2019.08.19,노컷뉴스,https://www.nocutnews.co.kr/news/5199827
