제목,날짜,신문사,링크
노래방·PC방·커피숍·교습소에 100~200만원... 초등생 이하 1인당 20만원,2020.09.10,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002674816&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
'PC방 아빠·방판 엄마·취준생 딸·초등아들…426만원 받는다,2020.09.14,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01190646625900120
"‘발등의 불’ 초등돌봄… 서울시, 맞벌이 부부 긴급 서비스 시행",2020.08.27,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0924153306&code=11131400&cp=nv
서울 강서 유치원 4곳·초등 7곳 '등교 연기'…양천 2곳은 6월 등교,2020.05.26,한국경제TV,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202005260255&t=NN
"[일문일답] 유은혜 ""27일 등교로 초등 돌봄 없어지지 않아""",2020.05.24,뉴스1,https://www.news1.kr/articles/?3943681
"등교 하루 앞두고 유·초등 연기 잇따라...서울교육청, 등교 후속대책 발표",2020.05.26,민중의소리,https://www.vop.co.kr/A00001490433.html
등교 하루 앞두고 서울 초등·유치원 16곳 내달로 등교연기(종합2보),2020.05.26,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03640806625772856
등교하는 긴급돌봄 참여 초등학생,2020.03.17,뉴시스,http://www.newsis.com/view/?id=NISI20200317_0016184261
자녀와 일하는 엄마를 위한 돌봄 '종로구 우리동네키움센터' 확대,2020.07.07,노컷뉴스,https://www.nocutnews.co.kr/news/5373945
등교 앞둔 초등·유치원생 학부모들 '어쩌나',2020.05.25,Queen,http://www.queen.co.kr/news/articleView.html?idxno=334999
"서울시,'포스트코로나 시대 초등돌봄 대전환'온라인 현장대화",2020.08.26,위클리오늘,http://www.weeklytoday.com/news/articleView.html?idxno=305997
"고3 13일, 중3과 초등 저학년 20일 '등교'",2020.05.04,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=969904
"등교 하루 앞두고 유·초등 연기 잇따라...서울교육청, 등교 후속대책 발표",2020.05.26,민중의소리,https://www.vop.co.kr/A00001490433.html
"종로구, 12월까지 아동양육 가구에 전자상품권 지급",2020.05.08,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0014559559&code=61111311&cp=nv
돌아오는 아이들… '한국 1호 초등학교' 다시 웃다,2019.03.02,조선일보,http://news.chosun.com/site/data/html_dir/2019/03/02/2019030200187.html?utm_source=naver&utm_medium=original&utm_campaign=news
"조희연, ""고입 석차백분율제 폐지 .. 초등돌봄-방과후 지자체와 역할분담 """,2020.06.30,에듀프레스,http://www.edupress.kr/news/articleView.html?idxno=5641
"""상시적 코로나 시대, 초등돌봄정책 근본적 전환 필요",2020.05.21,참여와혁신,http://www.laborplus.co.kr/news/articleView.html?idxno=24500
초등돌봄교실 지자체 이관요청 철회 촉구 기자회견,2017.09.15,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=PYH20170915104500013&did=1196m
"종로구, 혁신교육사업 공모…최대 500만원 지원",2020.02.19,뉴시스,http://www.newsis.com/view/?id=NISX20200219_0000924017&cID=14001&pID=14000
유치원·초등학교 '긴급돌봄→일상돌봄' 전환…확진자 발생시 온라인 수업,2020.05.18,뉴스핌,http://www.newspim.com/news/view/20200518000955
"임신한 초등돌봄전담사·조리사, ‘1일 2시간’ 유급 근로시간 단축",2020.01.31,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200131000011
거리로 나선 학교비정규직 초등돌봄 노동자들,2018.10.20,뉴시스,http://www.newsis.com/view/?id=NISI20181020_0014571609
“맘껏 뛰고 놀며 다양한 예술수업”,,동아일보,https://www.donga.com/news/article/all/20201015/103426150/1
"초등 돌봄교실, 교실도 없이 문열 판",2014.02.06,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2014020611061498975
"종로구, 올해 안 우리동네키움센터 5곳 개관",2020.07.09,한겨레,http://www.seouland.com/arti/society/society_general/7012.html
"초등돌봄전담사들 ""행정업무하느라 아이들 돌볼 시간 없어""",2019.01.29,연합뉴스,http://yna.kr/AKR20190129061900004?did=1195m
오늘부터 일부 등교확대 가능해져…'학습격차' 한시름 놓나,,뉴스1,https://www.news1.kr/articles/?4083273
서울 한복판 초등학교 신입생이 7명?,2011.02.06,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0004897941
10.20 학교비정규직 초등돌봄노동자대회 선포 기자회견,2018.10.17,뉴시스,http://www.newsis.com/view/?id=NISI20181017_0014561138
초등돌봄교실 외주화 중단하라,2018.03.09,뉴시스,http://www.newsis.com/view/?id=NISI20180309_0013884169
"서울교육청, 모든 초등돌봄교실에 상반기 중 공기정화장치",2018.04.06,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180406125300004&did=1195m
"종로구의회, 종로사랑 '여성평가단'→ '여성누리단' 명칭 변경",2019.05.28,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=202355
"""초등1·2방과후영어 금지는 사교육촉진·교육양극화법""",2018.01.27,뉴스1,http://news1.kr/articles/?3218934
"은평 연은초등학교 확진학생 父, 종로 '장수삼계탕'서 의정부 목사 접촉",2020.05.27,머니S,http://moneys.mt.co.kr/news/mwView.php?no=2020052711248059252
"""초등돌봄교실 확충 맞춰 돌봄전담사 처우 개선해야""",2018.04.06,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180406067500004&did=1195m
"서울교육청, 외국국적 학생 9천여명 대상 '아동지원금' 지급",,뉴스1,https://www.news1.kr/articles/?4083592
"종로구, 초등학생 대상 '孝(효) 예절교육'",2015.03.30,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=84311
"“돌봄포인트에서 놀잇감까지”…종로구, 아동지원사업 추진",2020.05.10,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1276848
도심 한복판 역사 흔적 담긴 전통의 초등학교들 사라지나,2015.03.06,매일경제,http://news.mk.co.kr/news_forward.php?domain=news&no=215959&year=2015
초등돌봄전담사들 “상시 근로제 도입하라” [포토뉴스],2면1단  2019,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201906252158005&code=940702
"폐지 코앞에서… 초등 1, 2학년 방과후 영어 이유있는 존폐 공방",2017.11.28,한국일보,http://www.hankookilbo.com/v/8b0dc86c19ea4a859c9235a178ec788b
서울 강남·서초 유치원·초등학교 8∼10일 일괄휴업(종합),2015.06.07,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20150607049551004&did=1195m
"""근무시간 '9 to 5' 보장하라""…서울 초등돌봄전담사 노숙농성",2018.12.24,뉴스1,http://news1.kr/articles/?3508574
대학생 600여명 초등학교 돌봄교실 자원봉사 나선다,2015.07.10,뉴스1,http://news1.kr/articles/?2322864
"종로구의회, 오는 20일 '미세먼지 특위' 첫 회의",2019.05.09,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=201425
"종로구, '창신거점영어체험센터 2016 여름방학 영어체험캠프 수료식' 개최",2016.08.04,일요신문,http://ilyo.co.kr/?ac=article_view&entry_id=195500
"자퇴 바람 부는 고1~2 ""부실한 원격수업 듣느니…""",23면1단  202,머니투데이,http://news.mt.co.kr/mtview.php?no=2020082614293831560
"서울 초등 스포츠강사들 ""교육청이 직접 채용해 달라""",2019.01.11,한국경제,http://news.hankyung.com/article/201901115539i
유은혜 “등교 이후에도 돌봄 공백 최소화”,2020.05.24,세계일보,http://www.segye.com/content/html/2020/05/24/20200524507695.html?OutUrl=naver
우리나라 최초의 초등학교 신입생 줄어 폐교 위기,2011.02.07,아시아경제,http://www.asiae.co.kr/news/view.htm?idxno=2011020708503115199
"전국 유·초·중·고, 방학 줄여 개학 3주 연기… 돌봄공백 우려",2020.03.02,세계일보,http://www.segye.com/content/html/2020/03/02/20200302518365.html?OutUrl=naver
"최초의 근대식 초등학교 교동초, 통폐합에 뒤숭숭",2014.08.05,세계일보,http://www.segye.com/content/html/2014/08/05/20140805003771.html?OutUrl=naver
전교생 800명 이하 초·중·고교 19일부터 전체 등교수업 한다,,충청타임즈,http://www.cctimes.kr/news/articleView.html?idxno=630315
10.20일 초등돎 노동자대회 선 포[포토],2018.10.17,민중의소리,http://www.vop.co.kr/A00001342634.html
초등 1~2학년도 20일부터 등교 대면수업…학부모들 '우려 목소리',2020.05.05,오가닉라이프신문,https://www.iloveorganic.co.kr/news/articleView.html?idxno=307186
돌봄공백 장기화… 맞벌이 “어떻게 더 버티나”,2020.03.17,세계일보,http://www.segye.com/content/html/2020/03/17/20200317517214.html?OutUrl=naver
가족돌봄휴가비 4만명 이상 신청…소규모 사업장 근로자 42%,2020.04.01,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=02994646625731856
"여가부-신한금융, 취약계층女·초등돌봄에 3년간 240억 지원",2018.01.25,뉴시스,http://www.newsis.com/view/?id=NISX20180125_0000212584&cID=10201&pID=10200
"개학, 어떻게 되나?",2020.03.17,뉴시스,http://www.newsis.com/view/?id=NISI20200317_0016184395
"""초등돌봄전담사 처우 개선하라""…20일 청와대 행진",2018.10.17,뉴시스,http://www.newsis.com/view/?id=NISX20181017_0000444940&cID=10201&pID=10200
"종로 창신제2동, '미성년자 양육가구 전수 모니터링'",2일 전   보내기,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1330704
유은혜 “등교 인원 3분의 2 넘지 않게 강력 권고”,2020.05.25,세계일보,http://www.segye.com/content/html/2020/05/24/20200524509388.html?OutUrl=naver
[종합] 개학 3차 연기...유치원초중고 4월6일 개학,2020.03.17,뉴스핌,http://www.newspim.com/news/view/20200317000798
`최대 50만원` 가족돌봄휴가 지원비용 받으려면,2020.03.03,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03637526625699712
한부모 초등 자녀 3명 중 2명 방과후 나홀로…'돌봄공백 심각',2016.02.04,뉴스1,http://news1.kr/articles/?2565813
[종합2보] 유치원초중고 4월 개학…수능도 미뤄지나,2020.03.17,뉴스핌,http://www.newspim.com/news/view/20200317001152
코로나19 장기화에 부당전보·사직압박 등 직장맘 상담 66% 급증,2020.05.19,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01308726625770560
"종로구, 맞벌이 가정에 1:1 아이돌보미 파견 서비스 지원",2017.07.11,베이비뉴스,http://www.ibabynews.com/news/newsview.aspx?newscode=201707110857522250000253&categorycode=0005
초유의 ‘4월 개학’에 고3 수험생 혼란… 대입도 미뤄 지나,2020.03.18,세계일보,http://www.segye.com/content/html/2020/03/17/20200317519520.html?OutUrl=naver
[포용국가 원년] 맞벌이 초등자녀 80% 돌봄지원,2019.02.26,베이비타임즈,http://www.babytimes.co.kr/news/articleView.html?idxno=25360
초등돌봄 예산 중앙정부 책임 촉구,2014.10.01,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0007158144
"초유의 ‘4월 개학’, 수능도 미뤄질까…“개학과 동시에 발표”",2020.03.18,세계일보,http://www.segye.com/content/html/2020/03/17/20200317520847.html?OutUrl=naver
"'등교선택권'은 아니라는 교육부, 학부모들은 어쩌나",2020.05.08,머니투데이,http://news.mt.co.kr/mtview.php?no=2020050808520611560
대학생 선생님께 배워요…종로구 '아름꿈 멘토링' 인기,2016.03.11,뉴스1,http://news1.kr/articles/?2599294
"시민단체 ""누리과정·초등돌봄 예산 중앙정부 책임""",2014.10.01,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0007158440
[종합] 2200개 학교 이틀째 급식중단…'빵·우유·도시락' 대체,2019.07.04,뉴스핌,http://www.newspim.com/news/view/20190704000618
강남·서초구 유치원·초등학교 8~10일 휴업명령(종합),2015.06.07,뉴스1,http://news1.kr/articles/?2268670
석면제거 후 대청소도 했는데…개학한 초중고서 또 석면 검출,2018.03.19,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180319121700004&did=1195m
"[고무줄 근무 초등돌봄전담사들] ""9시 출근 5시 퇴근으로 고정해 달라""",2018.11.28,매일노동뉴스,http://www.labortoday.co.kr/news/articleView.html?idxno=155309
멈춰선 스쿨버스,2020.03.17,뉴시스,http://www.newsis.com/view/?id=NISI20200317_0016184335
"교육선진국은 어린 학생부터 등교, 한국은 왜 큰 학생부터?",2020.09.30,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002680586&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
4월로 개학 연기될까... 돌봄교실 향하는 어린아이,2020.03.17,뉴스핌,http://www.newspim.com/news/view/20200317000628
[티브로드]<서울>학비노조 파업 지속...급식 중단 학교 60곳,2019.07.04,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=84188
[어떻게생각하십니까] ‘맞벌이 구세주’ 초등돌봄교실이 흔들린다,2017.09.22,한국일보,http://www.hankookilbo.com/v/67fb6a4d752448519a22c26209dbfaf6
<동정> 황우여 교육부 장관,2014.08.19,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0007075474
유치원·초중고 사상초유 '3주 연기' 23일 개학...긴급돌봄 오후 5시까지 제공,2020.03.03,메가경제,http://www.megaeconomy.co.kr/news/articleView.html?idxno=92802
재학생 300명 미만 '작은학교' 활성화…통·폐합 위기 막는다,2016.10.12,뉴스1,http://news1.kr/articles/?2799382
학생은 줄고 학교 늘었는데… 전국 초등교 빈교실 934개뿐?,2017.12.14,동아일보,http://news.donga.com/3/all/20171214/87722803/1
도시락 배달 오토바이까지 등장… 급식 파행 이틀째 풍경,2019.07.04,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0013462827&code=61121111&cp=nv
"서울교육감, 10월 중순부터 초1·중1 '매일 등교' 정부에 제안",2020.09.16,연합뉴스,http://yna.kr/AKR20200916129400530?did=1195m
“도시락 맛있어요” “빵 맛 없어요” “수저를 빠뜨렸네”,2019.07.05,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0924087249&code=11131100&cp=nv
"여가부, 메르스 확진 가족에 무료 돌봄 서비스 지원",2015.06.10,여성신문,http://www.womennews.co.kr/news/view.asp?num=84109
"""초등돌봄전담사가 행복해야 아이들이 행복하다""",2018.10.21,UPI뉴스,http://www.upinews.kr/news/newsview.php?ncode=1065606726405636
