제목,날짜,신문사,링크
서울 중랑구·성북구 유치원·초·중·고교 42곳 ‘휴업 명령’,2020.02.05,KBS,http://news.kbs.co.kr/news/view.do?ncd=4375534&ref=A
서울 중랑구·성북구 유치원·초·중·고교 42곳 '휴업 명령',2020.02.05,UPI뉴스,http://www.upinews.kr/newsView/upi202002050114
확진자 나온 서울 성북·중랑구 학교 13일까지 휴업 명령(상보),2020.02.05,뉴스1,http://news1.kr/articles/?3834400
[2020 지자체 핵심어│서울 중랑구 '개권유익(開卷有益)'] 미취학 아동 '1000...,2020.03.04,내일신문,http://www.naeil.com/news_view/?id_art=342461
'5번 확진자 동선' 서울 성북·중랑구 유치원·초중고 42곳 휴업,2020.02.05,YTN,https://www.ytn.co.kr/_ln/0103_202002051726038787
'5번 환자 동선' 서울 성북·중랑구 유치원·초중고 42곳 휴업,2020.02.06,YTN사이언스,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202002061627251732
"중랑구, 장애학생대상 '여름방학돌봄' 이용자 모집",2020.07.22,브레이크뉴스,http://www.breaknews.com/743861
신종 코로나바이러스 감염 우려… '중랑구·성북구 내 학교' 휴업 명령,2020.02.06,장애인신문,http://www.welfarenews.net/news/articleView.html?idxno=72674
"'성북구,중랑구 지역 유치원, 초,중,고교 오는 13일까지 휴업'",2020.02.06,뉴스핌,http://www.newspim.com/news/view/20200206000193
[신종코로나] 서울 중랑구‧성북구 42개교에 휴업명령,2020.02.06,아주경제,http://www.ajunews.com/view/20200206082658100
서울 중랑구·성북구 유치원·초·중·고교 42곳 '휴업 명령',2020.02.05,UPI뉴스,http://www.upinews.kr/newsView/upi202002050114
신종 코로나바이러스 감염 우려… '중랑구·성북구 내 학교' 휴업 명령,2020.02.06,장애인신문,http://www.welfarenews.net/news/articleView.html?idxno=72674
신종 코로나 여파…성북·중랑구 학교 휴업,2020.02.07,LG헬로비전,http://news.cjhello.com/news/newsView.do?soCode=SC40000000&idx=270625
[현장 행정] 돌직구 품는 중랑구청장,2018.10.25,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20181025016027&wlog_tag3=naver
동물사랑 어릴 때부터 배워요... 중랑구 ‘찾아가는 동물복지 교육’,2019.05.13,아시아경제,https://view.asiae.co.kr/news/view.htm?idxno=2019051321572864862
수도권 학교 20일까지 원격수업 연장,2020.09.04,세계일보,http://www.segye.com/content/html/2020/09/04/20200904517609.html?OutUrl=naver
동물사랑 어릴 때부터 배워요...중랑구 '찾아가는 동물복지 교육' 시작 - 중랑...,2019.05.27,농업인신문,http://www.nongupin.co.kr/news/articleView.html?idxno=63538
"코로나19 재유행 우려에…가족돌봄비용 신청, 9월말까지 연장",2020.08.23,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01476006625870272
중랑구 ‘찾아가는 동물복지 교육’ 스타트,2019.05.14,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1166739
중랑구 취약가정에 ‘행·가·래“,2단  2016.0,문화일보,http://www.munhwa.com/news/view.html?no=2016072801071309038001
긴급돌봄 오후 7시까지 연장…아동수당 月10만원 추가지원,2020.03.06,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=02240246625700696
"중랑구, 양원지구 내 신설 초등학교 시설복합화 업무협약 체결",2019.10.17,브레이크뉴스,http://www.breaknews.com/685411
"서영교 의원 ""전남 초등돌봄전담사 초단시간 일자리""",2018.10.19,뉴시스,http://www.newsis.com/view/?id=NISX20181019_0000447778&cID=10809&pID=10800
[종합] 수도권 원격수업 1주일 연장…대형학원도 20일까지 집합금지,2020.09.04,뉴스핌,http://www.newspim.com/news/view/20200904000688
"교육장관 찾아간 날, EBS 또 먹통",2020.04.14,조선일보,https://news.chosun.com/site/data/html_dir/2020/04/14/2020041400131.html?utm_source=naver&utm_medium=original&utm_campaign=news
"나진구 중랑구청장, 어르신과 소통 나서..",2017.07.05,뉴스타운,http://www.newstown.co.kr/news/articleView.html?idxno=291176
서울 학생 10명 추가 확진…특수학교 돌봄교실서도 발생,2020.09.02,뉴시스,http://www.newsis.com/view/?id=NISX20200902_0001152030&cID=10201&pID=10200
"중랑구, 우리 가족이 달라졌어요",2016.07.27,뉴스타운,http://www.newstown.co.kr/news/articleView.html?idxno=258223
“애들 걸릴까 걱정”-“학원은 보내면서” 혼돈의 등교개학,2면   2020.,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0924139669&code=11131300&cp=nv
'2주 추가 개학 연기' 가닥 잡고도 발표 미루는 교육부,2020.03.16,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002622668&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"중랑구, 어르신들과 소통을 통해 불편 해소에 나서",2016.10.18,뉴스타운,http://www.newstown.co.kr/news/articleView.html?idxno=266271
초등돌봄교실 이용 급증에도 전담인력은 줄어,2015.09.17,제주일보,http://www.jejunews.com/news/articleView.html?idxno=1971197
"전교조 ""서울시의회, 학교 운동장 개방 요구 철회해야""",2020.04.29,세계일보,http://www.segye.com/content/html/2020/04/29/20200429511683.html?OutUrl=naver
어린이날 '모처럼 대목' 창신동 '문구완구거리'…30% 이상 세일,2020.05.05,뉴스1,https://www.news1.kr/articles/?3923403
